"","source","X","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"119","2",51,9,"LF9: Mortality or fitness reduction due to fishing",10,0,0,0,0,0,0,0,0,0.2,2,0.8,8,0,0
"120","2",52,2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"121","2",53,3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"122","2",54,5,"LF5: Mortality or fitness reduction due to competition with invasive species",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"123","2",55,16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"124","2",56,17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"125","2",57,18,"LF18: Mortality due to redd disturbance by humans",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"126","2",58,21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"127","2",59,32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"128","2",60,34,"LF34: Mortality or fitness reduction due to competition from invasive species",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"129","2",61,47,"LF47: Mortality or fitness reduction due to elevated predation",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"130","2",62,48,"LF48: Mortality or fitness reduction due to predation by invasive species",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"131","2",63,53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",10,0,0,0,0,0,0,0,0,0,0,1,10,0,0
"132","2",64,50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",10,0,0,0,0,0,0,0,0,0,0,0.9,9,0.1,1
"133","2",65,12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",10,0,0,0,0,0,0,0,0,0,0,0,0,1,10
"134","2",66,31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",10,0,0,0,0,0,0,0,0,0,0,0,0,1,10
"135","2",67,46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",10,0,0,0,0,0,0,0,0,0,0,0,0,1,10
"136","2",68,66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",10,0,0,0,0,0,0,0,0,0,0,0,0,1,10
"137","3",1,19,"LF19: Mortality or fitness reduction due to early alevin emergence",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"138","3",2,21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"139","3",3,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"140","3",4,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"141","3",5,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"142","3",6,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"143","3",7,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"144","3",8,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"145","3",9,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",6,0.833333333333333,5,0,0,0,0,0,0,0,0,0,0,0.166666666666667,1
